TRADEDATE,consumer,metals_mining,oil_gas,consumer_log_return,metals_mining_log_return,oil_gas_log_return
2013-03-12,5736.82,2677.65,3282.93,-4.931830183600994e-4,-0.005021635577127981,2.3152731973574703e-4
2013-03-13,5779.08,2647.99,3277.89,0.007339450621024923,-0.011138682546948608,-0.0015363936189114469
2013-03-14,5800.51,2648.01,3278.69,0.003701344255853556,7.552870091132036e-6,2.4402966301551032e-4
2013-03-15,5790.29,2602.35,3275.32,-0.0017634680347384801,-0.017393531544366958,-0.0010283781370468148
2013-03-18,5682.84,2565.85,3213.03,-0.01873126891169896,-0.014125075215537741,-0.01920115707928538
2013-03-19,5700.6,2532.59,3180.23,0.00312032468391088,-0.01304731322760766,-0.010260895937655334
2013-03-20,5724.91,2507.4,3194.79,0.004255396334094996,-0.009996134815376756,0.00456783674917105
2013-03-21,5707.1,2509.75,3207.46,-0.003115815050676929,9.367868897118825e-4,0.0039579886884570925
2013-03-22,5619.6,2488.97,3156.27,-0.015450526746681348,-0.008314176310029175,-0.016088396003144823
2013-03-25,5559.19,2441.51,3141.3,-0.010808072798971224,-0.01925226992555995,-0.004754223675730529
2013-03-26,5449.65,2390.37,3126.74,-0.019901027766925594,-0.021168534677106443,-0.004645798746626184
2013-03-27,5456.81,2389.54,3157.76,0.0013129835030998294,-3.472868770924009e-4,0.00987198724598315
2013-03-28,5534.19,2392.16,3164.26,0.01408084405566612,0.0010958446837694424,0.0020563055132303276
2013-03-29,5554.5,2397.37,3178.59,0.0036631960514110773,0.0021755796727340737,0.0045184812445207
2013-04-01,5569.9,2367.09,3170.63,0.0027686904170263205,-0.012710950533528553,-0.0025073959227750464
2013-04-02,5565.26,2362.97,3165.71,-8.333962455076005e-4,-0.0017420502242790903,-0.00155294728148192
2013-04-03,5619.51,2329.98,3178.38,0.009700767281193734,-0.014059618548625252,0.003994273992013575
2013-04-04,5616.77,2340.28,3174.14,-4.877059052130761e-4,0.004410896481024551,-0.001334903512189456
2013-04-05,5653.47,2339.95,3149.37,0.006512750344612073,-1.4101871085259177e-4,-0.00783429667718849
2013-04-08,5629.97,2310.15,3117.03,-0.004165402391151929,-0.012817104129506873,-0.010321807456914911
2013-04-09,5635.39,2354.52,3146.79,9.622418490309315e-4,0.019024427547426725,0.009502260258493322
2013-04-10,5612.23,2423.03,3135.9,-0.004118210382662468,0.028681938065306056,-0.0034666714118198882
2013-04-11,5549.74,2353.58,3081.07,-0.011197065192819267,-0.029081249894915118,-0.017639274972058416
2013-04-12,5538.78,2303.9,3068.7,-0.0019768199126914965,-0.021334234094325666,-0.0040229201036403595
2013-04-15,5441.78,2223.1,3020.32,-0.017668046671422744,-0.03570072088812992,-0.015891233110648884
2013-04-16,5434.41,2225.19,2995.24,-0.001355254207226153,9.396870050251138e-4,-0.008338424125469146
2013-04-17,5404.62,2184.73,2956.07,-0.0054968156760626385,-0.01835005411270707,-0.013163678457717154
2013-04-18,5380.53,2194.43,2954.12,-0.0044672610139873115,0.004430080592640273,-6.59877286774524e-4
2013-04-19,5325.93,2222.96,2961.75,-0.010199538099112004,0.012917309407199262,0.0025795036844060704
2013-04-22,5344.96,2209.57,2944.52,0.0035667165857997674,-0.0060417146552760315,-0.005834494148637681
2013-04-23,5374.86,2231.69,2932.54,0.005578466343436617,0.009961219521530396,-0.004076874012922893
2013-04-24,5437.96,2288.92,3034.76,0.01167146337488667,0.0253209446157312,0.03426340226352309
2013-04-25,5491.69,2300.96,3029.33,0.009832050035578632,0.005246336555980058,-0.0017908709967269232
2013-04-26,5483,2299.76,3023.89,-0.001583644151436303,-5.216574915278827e-4,-0.0017973909636666008
2013-04-29,5474.5,2277.83,2999.08,-0.0015514490905683687,-0.00958153428980868,-0.008238507024694641
2013-04-30,5525.21,2279.33,3012.77,0.009220308399921606,6.583047574242329e-4,0.00455434638696417
2013-05-02,5619.58,2268.68,2962.11,0.016935672285592673,-0.004683375571480575,-0.01695806913097897
2013-05-03,5650.73,2308.96,3038.81,0.005527812335257565,0.01759904214509156,0.02556413918859768
2013-05-06,5734.04,2323.62,3063.58,0.014635603017762122,0.006329107727014893,0.00811817535040582
2013-05-07,5792.03,2326.51,3091.74,0.010062491258135964,0.0012429761628531821,0.009149872456037045
2013-05-08,5752.62,2328.84,3107.41,-0.006827431422768981,0.0010009989343684467,0.005055542574430305
2013-05-10,5726.67,2315.46,3108.9,-0.004521193245237143,-0.005761917627044255,4.793840810819461e-4
2013-05-13,5710.33,2294.31,3089.82,-0.0028573946170507014,-0.00917622719043898,-0.006156129090411966
2013-05-14,5818.89,2248.84,3052.51,0.018832706561219936,-0.020017616996072185,-0.012148633785098895
2013-05-15,5826.64,2190.28,3016.8,0.0013309829855927546,-0.026385138179234602,-0.01176753603862224
2013-05-16,5840.6,2156.8,2972.89,0.0023930263990301626,-0.01540374780122633,-0.014662123294193918
2013-05-17,5844.45,2191.33,3048.54,6.58961688536408e-4,0.015883023693009868,0.02512824381898504
2013-05-20,5822.12,2185.39,3050.15,-0.0038280363925977667,-0.002714363106181672,5.279822510750876e-4
2013-05-21,5839.88,2235.02,3085.69,0.0030457920990816234,0.02245587424867601,0.011584525495587528
2013-05-22,5921.58,2259.75,3149.65,0.013893056494682199,0.011004011125027802,0.020516040319670026
2013-05-23,5787.91,2161.95,3043.9,-0.022832045942735135,-0.04424359548129875,-0.03415174760448636
2013-05-24,5740.94,2156,3018.48,-0.008148299245796409,-0.002755939168333832,-0.008386194523774648
2013-05-27,5746.5,2155.75,3011.09,9.680138367063051e-4,-1.1596219645326755e-4,-0.0024512539701255776
2013-05-28,5886.47,2190.47,3050.25,0.024065523289419133,0.01597744182442451,0.01292141501855859
2013-05-29,5780.75,2145.83,2977.3,-0.018123065064155952,-0.020589708752241975,-0.024206704927028255
2013-05-30,5799.24,2137.8,2982.87,0.003193442431907556,-0.0037491610647713003,0.0018690747483844916
2013-05-31,5672.37,2131.07,2944.58,-0.02211985465943833,-0.003153061852757766,-0.01291973196256091
2013-06-03,5645.22,2094.61,2916.11,-0.004797850440120044,-0.017256822478210587,-0.009715655989087857
2013-06-04,5697.24,2093.43,2926.39,0.009172677662126816,-5.635094369802474e-4,0.003519045137760024
2013-06-05,5623.68,2030.07,2895.1,-0.012995593161129193,-0.030733593871960174,-0.010749928738052361
2013-06-06,5612.91,1990.23,2877.25,-0.0019169522600801514,-0.019820065270560683,-0.006184675876258261
2013-06-07,5673.33,2058.64,2956.53,0.010706945307674687,0.033795360655354933,0.027181306494237667
2013-06-10,5673.05,2020.92,2954.62,-4.93549484605893e-5,-0.018492717328767228,-6.462363724395459e-4
2013-06-11,5641.36,1982.47,2877.17,-0.005601720790991749,-0.019209311270032003,-0.026562874835393657
2013-06-13,5565.56,1945.14,2841.58,-0.01352756259785437,-0.019009588089333285,-0.012446936650211349
2013-06-14,5646.53,1983.68,2881.91,0.014443588597668366,0.01961975161695584,0.014093033273389288
2013-06-17,5794.98,2022.15,2959.48,0.025950828341438026,0.01920759629162827,0.026560308451468728
2013-06-18,5807.24,2035.68,2979.44,0.002113389431192658,0.006668613589208228,0.006721786167636523
2013-06-19,5789.42,2035.83,2960.53,-0.0030733011101613528,7.368273690477878e-5,-0.0063670570333913545
2013-06-20,5699.62,1988.65,2936.11,-0.01563260790419463,-0.023447581584504107,-0.008282730371266922
2013-06-21,5662.06,1965.27,2952.89,-0.006611722355751581,-0.01182637610242221,0.005698775823505642
2013-06-24,5638.22,1953.58,2959.08,-0.0042193707357327526,-0.0059660536505701245,0.002094057399468774
2013-06-25,5641.57,1972.16,2972.83,5.939827068566217e-4,0.009465801980079291,0.00463595186922916
2013-06-26,5656.05,1991.97,2996.87,0.0025633731580398944,0.009994710016294484,0.008054049600990432
2013-06-27,5705.69,1993.57,2972.89,0.008738153813791172,8.029025356437458e-4,-0.008033867015869944
2013-06-28,5783.65,2003.73,3022.03,0.013571048730263158,0.005083442263042137,0.0163942473339862
2013-07-01,5809.57,2021.02,3034.96,0.004471586528914884,0.008591890856839868,0.004269453851144078
2013-07-02,5803.26,2034.86,3069.48,-0.001086729181603019,0.006824685995642454,0.011309921292067315
2013-07-03,5777.58,2034.45,3059.93,-0.004434918726204273,-2.0150836450749665e-4,-0.0031161262593730754
2013-07-04,5887.93,2055.38,3077.99,0.01891958287885842,0.010235233600708327,0.005884746662870199
2013-07-05,5836.87,2040.39,3071.19,-0.008709798510235345,-0.0073197796405839455,-0.0022116779056258196
2013-07-08,5932.76,2050.29,3091.12,0.01629484048882901,0.004840280505124639,0.006468376141100407
2013-07-09,5820.97,2046.51,3091.78,-0.019022620224875553,-0.0018453432301637207,2.1349205146670158e-4
2013-07-10,5747.74,2014.9,3075.25,-0.012660180453503145,-0.015566336954198512,-0.005360778068695282
2013-07-11,5611.45,2060.14,3151.48,-0.023997580908233118,0.022204375281699384,0.024485984999776278
2013-07-12,5681.48,2070.43,3227.06,0.012402609011667565,0.004982373515815652,0.02369932225098559
2013-07-15,5701.08,2069.2,3246.93,0.003443868404245265,-5.942560258755947e-4,0.006138428509240512
2013-07-16,5751.09,2075.7,3264.71,0.008733771484591202,0.003136387043515043,0.005461003429878986
2013-07-17,5729.22,2107.01,3312.37,-0.0038100062551755798,0.014971434704531994,0.014493007302567307
2013-07-18,5684.44,2084.68,3272.85,-0.00784677829297209,-0.01065451464156375,-0.01200278030457369
2013-07-19,5711.33,2104.47,3262.05,0.004719303725407187,0.00944828770567785,-0.003305332853663856
2013-07-22,5711.61,2103.76,3248.15,4.902415666308002e-5,-3.374340312847224e-4,-0.004270228601894743
2013-07-23,5771.31,2119.34,3251.65,0.010398145750935228,0.007378499530738658,0.0010769563181280972
2013-07-24,5773.17,2117.43,3227.95,3.2223192661717803e-4,-9.01630312427848e-4,-0.007315298996624975
2013-07-25,5792.97,2077.87,3226.24,0.0034237903642626577,-0.018859758580336283,-5.298883485025385e-4
2013-07-26,5834.55,2084.51,3227.37,0.007152028504760821,0.0031904850746382607,3.501916017700779e-4
2013-07-29,5812.55,2086.16,3229.32,-0.003777768914920543,7.912398181026958e-4,6.040246811558347e-4
2013-07-30,5797.19,2095.04,3216.77,-0.0026460556329528373,0.004247590811774948,-0.003893838235859093
