"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2000","149.84","199.60","199.60","149.84","","-22.05%"
"10/01/2000","192.22","207.61","214.46","190.37","","-6.06%"
"09/01/2000","204.61","237.54","241.56","189.84","","-14.40%"
"08/01/2000","239.03","209.47","245.37","209.47","","19.38%"
"07/01/2000","200.22","199.13","200.22","188.37","","2.71%"
"06/01/2000","194.93","221.10","233.28","189.57","","-10.19%"
"05/01/2000","217.05","244.88","251.34","190.54","","-10.62%"
"04/01/2000","242.85","257.30","258.02","225.28","","-4.65%"
"03/01/2000","254.68","198.99","277.82","198.99","","33.00%"
"02/01/2000","191.49","191.59","216.53","186.67","","1.42%"
"01/01/2000","188.81","173.00","219.73","173.00","","24.32%"
"12/01/1999","151.87","119.71","161.78","116.24","","25.76%"
"11/01/1999","120.76","102.64","128.58","102.64","","13.01%"
"10/01/1999","106.86","88.74","106.86","88.74","","22.64%"
"09/01/1999","87.13","104.91","110.72","83.33","","-13.49%"
"08/01/1999","100.72","114.39","119.16","98.87","","-12.33%"
"07/01/1999","114.88","136.08","150.34","114.88","","-12.73%"
"06/01/1999","131.64","108.46","134.93","105.27","","22.04%"
"05/01/1999","107.87","105.99","114.19","90.98","","11.67%"
"04/01/1999","96.60","87.40","96.60","76.29","","11.60%"
"03/01/1999","86.56","66.66","92.37","65.32","","38.63%"
"02/01/1999","62.44","44.73","70.36","44.73","","40.28%"
"01/01/1999","44.51","45.60","49.60","42.33","","-1.83%"
